FID,OBJECTID,EFF_DATE,SITE_NO,SITE_TYPE_,STATE_CODE,ARPT_ID,CITY,COUNTRY_CO,REGION_COD,ADO_CODE,STATE_NAME,COUNTY_NAM,COUNTY_ASS,ARPT_NAME,OWNERSHIP_,FACILITY_U,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMA,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIM,SURVEY_MET,ELEV,ELEV_METHO,geometry
1367,967,2022-12-01 00:00:00+00:00,01248.1,A,CA,APV,APPLE VALLEY,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,APPLE VALLEY,PU,PU,34,34,31.2,N,34.57533333,117,11,10.3,W,-117.18619444,E,3061.7,S,POINT (-117.18619444483 34.5753333332033)
1368,968,2022-12-01 00:00:00+00:00,01248.11,A,CA,27CA,APPLE VALLEY,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,HOLIDAY RANCH,PR,PR,34,33,39.983,N,34.56110639,117,4,50.142,W,-117.080595,E,3260.0,E,POINT (-117.080595000238 34.5611063888184)
1370,970,2022-12-01 00:00:00+00:00,01250.1,A,CA,55CL,ARBUCKLE,US,AWP,SFO,CALIFORNIA,COLUSA,CA,STRAIN RANCH,PR,PR,39,3,11.0,N,39.05305556,122,5,44.0,W,-122.09555556,E,123.0,E,POINT (-122.095555555858 39.0530555552216)
1371,971,2022-12-01 00:00:00+00:00,01255.1,A,CA,ACV,ARCATA/EUREKA,US,AWP,SFO,CALIFORNIA,HUMBOLDT,CA,CALIFORNIA REDWOOD COAST-HUMBOLDT COUNTY,PU,PU,40,58,40.175,N,40.97782639,124,6,30.489,W,-124.10846917,E,222.3,S,POINT (-124.108469166972 40.9778263888389)
1372,972,2022-12-01 00:00:00+00:00,01266.1,A,CA,5CL8,ARVIN,US,AWP,LAX,CALIFORNIA,KERN,CA,CREEKSIDE,PR,PR,35,10,34.1,N,35.17613889,118,55,23.336,W,-118.92314889,E,335.0,E,POINT (-118.923148888496 35.1761388886833)
1373,973,2022-12-01 00:00:00+00:00,01272.4,A,CA,5CL9,AUBERRY,US,AWP,SFO,CALIFORNIA,FRESNO,CA,TABLE MOUNTAIN FLD,PR,PR,37,8,28.8,N,37.14133333,119,30,28.5,W,-119.50791667,E,1280.0,E,POINT (-119.507916666682 37.1413333334231)
1375,975,2022-12-01 00:00:00+00:00,01273.,A,CA,AUN,AUBURN,US,AWP,SFO,CALIFORNIA,PLACER,CA,AUBURN MUNI,PU,PU,38,57,17.4,N,38.95483333,121,4,54.2,W,-121.08172222,E,1538.4,S,POINT (-121.081722222668 38.9548333334461)
1377,977,2022-12-01 00:00:00+00:00,01276.,A,CA,AVX,AVALON,US,AWP,LAX,CALIFORNIA,LOS ANGELES,CA,CATALINA,PR,PU,33,24,17.99,N,33.40499722,118,24,56.77,W,-118.41576944,E,1602.0,E,POINT (-118.415769444002 33.4049972220707)
1382,982,2022-12-01 00:00:00+00:00,01286.1,A,CA,0O2,BAKER,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,BAKER,PU,PU,35,17,10.6,N,35.28627778,116,4,52.9,W,-116.08136111,E,922.0,S,POINT (-116.0813611113 35.286277777985)
1383,983,2022-12-01 00:00:00+00:00,01289.1,A,CA,L45,BAKERSFIELD,US,AWP,LAX,CALIFORNIA,KERN,CA,BAKERSFIELD MUNI,PU,PU,35,19,29.549,N,35.32487472,118,59,45.679,W,-118.99602194,E,378.3,S,POINT (-118.996021944617 35.3248747219758)
1387,987,2022-12-01 00:00:00+00:00,01289.5,A,CA,81CA,BAKERSFIELD,US,AWP,LAX,CALIFORNIA,KERN,CA,SKYDIVE SAN JOAQUIN VALLEY,PR,PR,35,5,52.0,N,35.09777778,119,4,16.0,W,-119.07111111,E,346.0,E,POINT (-119.071111111307 35.0977777777429)
1388,988,2022-12-01 00:00:00+00:00,01291.,A,CA,BFL,BAKERSFIELD,US,AWP,LAX,CALIFORNIA,KERN,CA,MEADOWS FLD,PU,PU,35,26,1.9,N,35.43386111,119,3,27.6,W,-119.05766667,E,509.6,S,POINT (-119.057666666948 35.4338611112118)
1389,989,2022-12-01 00:00:00+00:00,01291.1,A,CA,7CA2,BAKERSFIELD,US,AWP,LAX,CALIFORNIA,KERN,CA,PARADISE LAKES,PR,PR,35,10,36.0,N,35.17666667,118,55,38.0,W,-118.92722222,E,340.0,E,POINT (-118.927222221896 35.1766666665517)
1392,992,2022-12-01 00:00:00+00:00,01297.,A,CA,BNG,BANNING,US,AWP,LAX,CALIFORNIA,RIVERSIDE,CA,BANNING MUNI,PU,PU,33,55,21.2,N,33.92255556,116,51,3.5,W,-116.85097222,E,2222.4,S,POINT (-116.850972222431 33.9225555554684)
1394,994,2022-12-01 00:00:00+00:00,01299.8,A,CA,5CA4,BARSTOW,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,LUDLOW,PR,PR,34,43,43.57,N,34.72876944,116,9,31.23,W,-116.158675,E,1700.0,E,POINT (-116.158674999808 34.7287694443131)
1398,998,2022-12-01 00:00:00+00:00,01299.87,A,CA,00CA,BARSTOW,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,GOLDSTONE /GTS/,PU,PR,35,21,17.9,N,35.35497222,116,53,6.75,W,-116.88520833,E,3038.0,E,POINT (-116.885208333043 35.3549722225454)
1399,999,2022-12-01 00:00:00+00:00,01303.,A,CA,73CA,BEAR VALLEY,US,AWP,SFO,CALIFORNIA,ALPINE,CA,BEAR VALLEY,PR,PR,38,27,31.682,N,38.45880056,120,2,23.671,W,-120.03990861,E,7073.0,S,POINT (-120.039908611471 38.4588005556295)
1400,1000,2022-12-01 00:00:00+00:00,01307.,A,CA,O02,BECKWOURTH,US,AWP,SFO,CALIFORNIA,PLUMAS,CA,NERVINO,PU,PU,39,49,6.7,N,39.81852778,120,21,10.1,W,-120.35280556,E,4899.9,S,POINT (-120.352805555679 39.8185277778177)
1402,1002,2022-12-01 00:00:00+00:00,01318.,A,CA,O55,BIEBER,US,AWP,SFO,CALIFORNIA,LASSEN,CA,SOUTHARD FLD,PU,PU,41,8,22.345,N,41.13954028,121,7,26.58,W,-121.12405,E,4163.0,E,POINT (-121.124049999829 41.1395402775038)
1403,1003,2022-12-01 00:00:00+00:00,01323.,A,CA,L35,BIG BEAR CITY,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,BIG BEAR CITY,PU,PU,34,15,49.6,N,34.26377778,116,51,21.7,W,-116.85602778,E,6752.4,S,POINT (-116.856027777357 34.263777777473)
1406,1006,2022-12-01 00:00:00+00:00,01324.23,A,CA,00CL,BIGGS,US,AWP,SFO,CALIFORNIA,BUTTE,CA,WILLIAMS AG,PR,PR,39,25,37.88,N,39.42718889,121,45,48.34,W,-121.76342778,E,87.0,E,POINT (-121.763427778085 39.4271888888815)
1407,1007,2022-12-01 00:00:00+00:00,01324.5,A,CA,CL23,BIGGS,US,AWP,SFO,CALIFORNIA,BUTTE,CA,JONES/AG-VIATION,PR,PR,39,27,34.592,N,39.45960889,121,41,45.905,W,-121.69608472,E,109.0,S,POINT (-121.696084722107 39.4596088887374)
1408,1008,2022-12-01 00:00:00+00:00,01327.,A,CA,BIH,BISHOP,US,AWP,LAX,CALIFORNIA,INYO,CA,BISHOP,PU,PU,37,22,23.2,N,37.37311111,118,21,49.0,W,-118.36361111,E,4124.3,S,POINT (-118.363611110734 37.3731111108505)
1410,1010,2022-12-01 00:00:00+00:00,01327.03,A,NV,9CA6,DYER,US,AWP,PHX,NEVADA,ESMERALDA,NV,NORTH VALLEY,PR,PR,37,52,8.749,N,37.86909694,118,5,42.393,W,-118.09510917,E,4960.0,E,POINT (-118.095109166582 37.8690969444638)
1411,1011,2022-12-01 00:00:00+00:00,01335.1,A,CA,56CL,BLYTHE,US,AWP,LAX,CALIFORNIA,RIVERSIDE,CA,MORRIS AG AIR SW,PR,PR,33,35,31.089,N,33.59196917,114,36,19.843,W,-114.60551194,E,263.0,E,POINT (-114.605511944822 33.5919691664371)
1414,1014,2022-12-01 00:00:00+00:00,01336.,A,CA,BLH,BLYTHE,US,AWP,LAX,CALIFORNIA,RIVERSIDE,CA,BLYTHE,PU,PU,33,37,9.0,N,33.61916667,114,43,0.8,W,-114.71688889,E,399.6,S,POINT (-114.716888888892 33.6191666670201)
1415,1015,2022-12-01 00:00:00+00:00,01340.25,A,CA,D83,BOONVILLE,US,AWP,SFO,CALIFORNIA,MENDOCINO,CA,BOONVILLE,PU,PU,39,0,50.2301,N,39.01395281,123,22,53.5917,W,-123.38155325,E,378.5,E,POINT (-123.381553250241 39.0139528057923)
1416,1016,2022-12-01 00:00:00+00:00,01340.281,A,CA,57CL,BORON,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,BORON AIRSTRIP,PR,PR,35,0,12.912,N,35.00358667,117,36,25.211,W,-117.60700306,E,2499.0,E,POINT (-117.607003055848 35.0035866665153)
1417,1017,2022-12-01 00:00:00+00:00,01340.3,A,CA,L08,BORREGO SPRINGS,US,AWP,LAX,CALIFORNIA,SAN DIEGO,CA,BORREGO VALLEY,PU,PU,33,15,32.5,N,33.25902778,116,19,15.5,W,-116.32097222,E,522.2,S,POINT (-116.320972222615 33.2590277780982)
1418,1018,2022-12-01 00:00:00+00:00,01340.35,A,CA,58CL,BORREGO SPRINGS,US,AWP,LAX,CALIFORNIA,SAN DIEGO,CA,BORREGO AIR RANCH,PR,PR,33,11,30.94,N,33.19192778,116,16,48.37,W,-116.28010278,E,576.0,E,POINT (-116.280102777672 33.1919277777234)
1419,1019,2022-12-01 00:00:00+00:00,01342.,A,CA,BWC,BRAWLEY,US,AWP,LAX,CALIFORNIA,IMPERIAL,CA,BRAWLEY MUNI,PU,PU,32,59,34.575,N,32.9929375,115,31,2.148,W,-115.51726333,E,-127.8,S,POINT (-115.517263333341 32.9929375003199)
1421,1021,2022-12-01 00:00:00+00:00,01344.2,A,CA,4CA2,BRENTWOOD,US,AWP,SFO,CALIFORNIA,CONTRA COSTA,CA,FUNNY FARM,PR,PR,37,56,48.72,N,37.94686667,121,38,50.83,W,-121.64745278,E,29.0,E,POINT (-121.647452777589 37.9468666664751)
1422,1022,2022-12-01 00:00:00+00:00,01346.,A,CA,O57,BRIDGEPORT,US,AWP,SFO,CALIFORNIA,MONO,CA,BRYANT FLD,PU,PU,38,15,52.7531,N,38.26465364,119,13,21.832,W,-119.22273111,E,6471.7,S,POINT (-119.22273111136 38.2646536386378)
1424,1024,2022-12-01 00:00:00+00:00,01348.,A,CA,2CL1,BROWNSVILLE,US,AWP,SFO,CALIFORNIA,YUBA,CA,BROWNSVILLE AIRPARK,PR,PR,39,27,18.8,N,39.45522222,121,17,29.9,W,-121.29163889,E,2120.0,E,POINT (-121.291638888954 39.4552222222833)
1425,1025,2022-12-01 00:00:00+00:00,01349.5,A,CA,60CL,BRYTE,US,AWP,SFO,CALIFORNIA,YOLO,CA,CHP ACADEMY,PU,PR,38,35,55.658,N,38.59879389,121,33,37.843,W,-121.56051194,E,20.0,E,POINT (-121.560511944218 38.5987938890567)
1426,1026,2022-12-01 00:00:00+00:00,01353.,A,CA,BUR,BURBANK,US,AWP,LAX,CALIFORNIA,LOS ANGELES,CA,BOB HOPE,PU,PU,34,12,2.5,N,34.20069444,118,21,31.2,W,-118.35866667,E,778.0,S,POINT (-118.35866666663 34.2006944440755)
1430,1030,2022-12-01 00:00:00+00:00,01356.1,A,CA,L62,BUTTONWILLOW,US,AWP,LAX,CALIFORNIA,KERN,CA,ELK HILLS-BUTTONWILLOW,PU,PU,35,21,12.4,N,35.35344444,119,28,47.0,W,-119.47972222,E,326.0,E,POINT (-119.479722222226 35.353444444271)
1431,1031,2022-12-01 00:00:00+00:00,01356.5,A,CA,C83,BYRON,US,AWP,SFO,CALIFORNIA,CONTRA COSTA,CA,BYRON,PU,PU,37,49,42.4,N,37.82844444,121,37,33.0,W,-121.62583333,E,78.5,S,POINT (-121.625833333565 37.8284444446966)
1432,1032,2022-12-01 00:00:00+00:00,01356.7,A,CA,CA90,CADIZ,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,CADIZ AIRSTRIP,PR,PR,34,30,50.0,N,34.51388889,115,31,10.0,W,-115.51944444,E,780.0, ,POINT (-115.519444444647 34.5138888888075)
1435,1035,2022-12-01 00:00:00+00:00,01358.,A,CA,CXL,CALEXICO,US,AWP,LAX,CALIFORNIA,IMPERIAL,CA,CALEXICO INTL,PU,PU,32,40,2.8,N,32.66744444,115,31,3.3,W,-115.51758333,E,5.7,E,POINT (-115.517583333008 32.667444444202)
1437,1037,2022-12-01 00:00:00+00:00,01359.2,A,CA,62CL,CALIENTE,US,AWP,LAX,CALIFORNIA,KERN,CA,FLYING PEAR RANCH,PR,PR,35,24,25.845,N,35.40717917,118,30,0.312,W,-118.50008667,E,3485.0,S,POINT (-118.500086666737 35.4071791666983)
1438,1038,2022-12-01 00:00:00+00:00,01360.,A,CA,L71,CALIFORNIA CITY,US,AWP,LAX,CALIFORNIA,KERN,CA,CALIFORNIA CITY MUNI,PU,PU,35,9,4.5,N,35.15125,118,1,0.0,W,-118.01666667,E,2453.5,S,POINT (-118.01666666709 35.1512500000522)
1439,1039,2022-12-01 00:00:00+00:00,01363.,A,CA,CLR,CALIPATRIA,US,AWP,LAX,CALIFORNIA,IMPERIAL,CA,CLIFF HATFIELD MEML,PU,PU,33,7,52.8,N,33.13133333,115,31,17.0,W,-115.52138889,E,-181.8,S,POINT (-115.521388888504 33.1313333334071)
1440,1040,2022-12-01 00:00:00+00:00,01366.,A,CA,CA38,CALPINE,US,AWP,SFO,CALIFORNIA,SIERRA,CA,TOTEM POLE RANCH,PR,PR,39,39,4.648,N,39.65129111,120,26,18.759,W,-120.43854417,E,4986.0,E,POINT (-120.438544166518 39.6512911108225)
1441,1041,2022-12-01 00:00:00+00:00,01369.1,A,CA,CMA,CAMARILLO,US,AWP,LAX,CALIFORNIA,VENTURA,CA,CAMARILLO,PU,PU,34,12,49.53,N,34.21375833,119,5,39.675,W,-119.09435417,E,76.8,S,POINT (-119.094354166782 34.2137583332901)
1442,1042,2022-12-01 00:00:00+00:00,01369.41,A,CA,66CA,CAMBRIA,US,AWP,SFO,CALIFORNIA,SAN LUIS OBISPO,CA,RANCHO SAN SIMEON,PR,PR,35,36,27.894,N,35.60774833,121,6,36.696,W,-121.11019333,E,320.0,E,POINT (-121.11019333296 35.6077483334957)
1443,1043,2022-12-01 00:00:00+00:00,01369.8,A,CA,O61,CAMERON PARK,US,AWP,SFO,CALIFORNIA,EL DORADO,CA,CAMERON PARK,PU,PU,38,41,2.4,N,38.684,120,59,15.1,W,-120.98752778,E,1287.3,E,POINT (-120.987527778144 38.6840000003273)
1445,1045,2022-12-01 00:00:00+00:00,01370.06,A,CA,CA62,CAMP ROBERTS,US,AWP,SFO,CALIFORNIA,SAN LUIS OBISPO,CA,MC MILLAN,MR,PR,35,43,8.886,N,35.719135,120,46,4.629,W,-120.7679525,E,920.0,E,POINT (-120.767952499585 35.7191349998066)
1448,1048,2022-12-01 00:00:00+00:00,01375.,A,CA,63CL,CAPAY,US,AWP,SFO,CALIFORNIA,YOLO,CA,G3 RANCH,PR,PR,38,42,59.652,N,38.71657,122,8,18.904,W,-122.13858444,E,360.0,E,POINT (-122.138584444743 38.7165700000106)
1449,1049,2022-12-01 00:00:00+00:00,01376.1,A,CA,CRQ,CARLSBAD,US,AWP,LAX,CALIFORNIA,SAN DIEGO,CA,MC CLELLAN-PALOMAR,PU,PU,33,7,41.7,N,33.12825,117,16,48.3,W,-117.28008333,E,330.5,S,POINT (-117.280083333698 33.1282500003191)
1454,1054,2022-12-01 00:00:00+00:00,01379.,A,CA,64CL,CARSON,US,AWP,LAX,CALIFORNIA,LOS ANGELES,CA,GOODYEAR BLIMP BASE,PR,PR,33,51,18.0,N,33.855,118,16,34.2,W,-118.27616667,E,21.0,E,POINT (-118.276166666544 33.8550000003164)
1456,1056,2022-12-01 00:00:00+00:00,01379.4,A,CA,65CL,CARUTHERS,US,AWP,SFO,CALIFORNIA,FRESNO,CA,AL DIVINE,PR,PR,36,30,51.819,N,36.51439417,119,45,50.495,W,-119.76402639,E,252.0,E,POINT (-119.764026389219 36.5143941665964)
1460,1060,2022-12-01 00:00:00+00:00,01384.,A,CA,O59,CEDARVILLE,US,AWP,SFO,CALIFORNIA,MODOC,CA,CEDARVILLE,PU,PU,41,33,13.0,N,41.55361111,120,9,56.2,W,-120.16561111,E,4623.0,E,POINT (-120.165611111547 41.5536111113378)
1463,1063,2022-12-01 00:00:00+00:00,01390.,A,CA,49X,CHEMEHUEVI VALLEY,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,CHEMEHUEVI VALLEY,PU,PU,34,31,44.0,N,34.52888889,114,25,55.1,W,-114.43197222,E,638.3,E,POINT (-114.431972221793 34.5288888889545)
1464,1064,2022-12-01 00:00:00+00:00,01392.,A,CA,O05,CHESTER,US,AWP,SFO,CALIFORNIA,PLUMAS,CA,ROGERS FLD,PU,PU,40,16,56.5,N,40.28236111,121,14,28.2,W,-121.24116667,E,4534.4,S,POINT (-121.241166666525 40.2823611109336)
1466,1066,2022-12-01 00:00:00+00:00,01395.,A,CA,CIC,CHICO,US,AWP,SFO,CALIFORNIA,BUTTE,CA,CHICO MUNI,PU,PU,39,47,43.4,N,39.79538889,121,51,30.3,W,-121.85841667,E,240.2,S,POINT (-121.858416666596 39.7953888891842)
1468,1068,2022-12-01 00:00:00+00:00,01395.3,A,CA,4CA7,CHICO,US,AWP,SFO,CALIFORNIA,BUTTE,CA,JOHNSEN,PR,PR,39,40,14.58,N,39.67071667,121,53,8.92,W,-121.88581111,E,190.0,E,POINT (-121.885811110985 39.6707166663534)
1469,1069,2022-12-01 00:00:00+00:00,01396.02,A,CA,CA11,CHILCOOT,US,AWP,SFO,CALIFORNIA,PLUMAS,CA,BODAD,PR,PR,39,59,49.97,N,39.99721389,120,13,0.685,W,-120.21685694,E,5909.0,E,POINT (-120.216856944235 39.997213888965)
1470,1070,2022-12-01 00:00:00+00:00,01396.1,A,CA,CL56,CHICO,US,AWP,SFO,CALIFORNIA,BUTTE,CA,RANCHAERO,PR,PR,39,43,10.2765,N,39.71952125,121,52,13.7835,W,-121.87049542,E,173.0,E,POINT (-121.870495416601 39.7195212500705)
1471,1071,2022-12-01 00:00:00+00:00,01397.7,A,CA,NID,CHINA LAKE,US,AWP,LAX,CALIFORNIA,KERN,CA,CHINA LAKE NAWS (ARMITAGE FLD),MN,PR,35,41,8.5216,N,35.68570044,117,41,31.5941,W,-117.69210947,E,2284.0,S,POINT (-117.692109471917 35.68570044459)
1472,1072,2022-12-01 00:00:00+00:00,01398.,A,CA,CNO,CHINO,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,CHINO,PU,PU,33,58,29.2055,N,33.97477931,117,38,11.3382,W,-117.63648283,E,650.0,S,POINT (-117.636482833169 33.9747793055462)
1473,1073,2022-12-01 00:00:00+00:00,01399.,A,CA,L77,CHIRIACO SUMMIT,US,AWP,LAX,CALIFORNIA,RIVERSIDE,CA,CHIRIACO SUMMIT,PU,PU,33,39,53.32,N,33.66481111,115,42,37.49,W,-115.71041389,E,1710.7,S,POINT (-115.710413888978 33.6648111112556)
1474,1074,2022-12-01 00:00:00+00:00,01400.5,A,CA,2O6,CHOWCHILLA,US,AWP,SFO,CALIFORNIA,MADERA,CA,CHOWCHILLA,PU,PU,37,6,47.8,N,37.11327778,120,14,49.2,W,-120.247,E,243.0,E,POINT (-120.246999999831 37.1132777775685)
1475,1075,2022-12-01 00:00:00+00:00,01400.512,A,CA,67CA,CHOWCHILLA,US,AWP,SFO,CALIFORNIA,MADERA,CA,CHAPMAN FARMS,PR,PR,37,4,21.801,N,37.0727225,120,22,41.64,W,-120.37823333,E,175.0,E,POINT (-120.378233333688 37.0727225001702)
1476,1076,2022-12-01 00:00:00+00:00,01401.1,A,CA,0CL3,CHULA VISTA,US,AWP,LAX,CALIFORNIA,SAN DIEGO,CA,JOHN NICHOL'S FLD,PR,PR,32,38,0.14,N,32.63337222,116,53,25.12,W,-116.89031111,E,500.0,E,POINT (-116.890311111504 32.6333722218765)
1483,1083,2022-12-01 00:00:00+00:00,01405.,A,CA,CN13,CLARKSBURG,US,AWP,SFO,CALIFORNIA,YOLO,CA,BORGES - CLARKSBURG,PR,PR,38,26,35.7,N,38.44325,121,30,31.9,W,-121.50886111,E,12.0,E,POINT (-121.508861111475 38.443250000069)
1485,1085,2022-12-01 00:00:00+00:00,01411.1,A,CA,O60,CLOVERDALE,US,AWP,SFO,CALIFORNIA,SONOMA,CA,CLOVERDALE MUNI,PU,PU,38,46,34.6,N,38.77627778,122,59,33.4,W,-122.99261111,E,275.9,S,POINT (-122.992611110895 38.7762777780126)
1488,1088,2022-12-01 00:00:00+00:00,01419.12,A,CA,3O8,COALINGA,US,AWP,SFO,CALIFORNIA,FRESNO,CA,HARRIS RANCH,PR,PU,36,14,53.2,N,36.24811111,120,14,18.5,W,-120.23847222,E,470.0,E,POINT (-120.238472221872 36.2481111111302)
1489,1089,2022-12-01 00:00:00+00:00,01419.13,A,CA,C80,COALINGA,US,AWP,SFO,CALIFORNIA,FRESNO,CA,NEW COALINGA MUNI,PU,PU,36,9,43.6,N,36.16211111,120,17,41.4,W,-120.29483333,E,624.8,E,POINT (-120.294833333078 36.1621111114341)
1491,1091,2022-12-01 00:00:00+00:00,01429.,A,CA,O22,COLUMBIA,US,AWP,SFO,CALIFORNIA,TUOLUMNE,CA,COLUMBIA,PU,PU,38,1,49.5,N,38.03041667,120,24,52.4,W,-120.41455556,E,2120.7,S,POINT (-120.414555555171 38.0304166668423)
1492,1092,2022-12-01 00:00:00+00:00,01430.1,A,CA,67CL,COLUSA,US,AWP,SFO,CALIFORNIA,COLUSA,CA,DAVIS,PR,PR,39,12,3.605,N,39.20100139,122,2,54.904,W,-122.04858444,E,45.0,E,POINT (-122.048584444486 39.201001388922)
1495,1095,2022-12-01 00:00:00+00:00,01431.1,A,CA,O08,COLUSA,US,AWP,SFO,CALIFORNIA,COLUSA,CA,COLUSA COUNTY,PU,PU,39,10,44.4,N,39.179,121,59,36.0,W,-121.99333333,E,49.0,S,POINT (-121.993333332967 39.1790000003253)
1496,1096,2022-12-01 00:00:00+00:00,01434.,A,CA,CPM,COMPTON,US,AWP,LAX,CALIFORNIA,LOS ANGELES,CA,COMPTON/WOODLEY,PU,PU,33,53,23.7,N,33.88991667,118,14,37.7,W,-118.24380556,E,98.7,S,POINT (-118.243805555526 33.8899166666638)
1497,1097,2022-12-01 00:00:00+00:00,01437.,A,CA,CCR,CONCORD,US,AWP,SFO,CALIFORNIA,CONTRA COSTA,CA,BUCHANAN FLD,PU,PU,37,59,22.764,N,37.98965667,122,3,24.848,W,-122.05690222,E,25.6,S,POINT (-122.056902222383 37.9896566667022)
1499,1099,2022-12-01 00:00:00+00:00,01439.,A,CA,43CN,CORCORAN,US,AWP,SFO,CALIFORNIA,KINGS,CA,CORCORAN,PR,PR,36,6,9.65,N,36.10268056,119,35,41.24,W,-119.59478889,E,185.0,E,POINT (-119.594788888528 36.1026805554691)
1500,1100,2022-12-01 00:00:00+00:00,01440.,A,CA,24CL,CORCORAN,US,AWP,SFO,CALIFORNIA,KINGS,CA,BOSWELL,PR,PR,36,5,19.22,N,36.08867222,119,32,29.86,W,-119.54162778,E,205.2,S,POINT (-119.541627777587 36.0886722224149)
1501,1101,2022-12-01 00:00:00+00:00,01443.,A,CA,0O4,CORNING,US,AWP,SFO,CALIFORNIA,TEHAMA,CA,CORNING MUNI,PU,PU,39,56,45.989,N,39.94610806,122,10,16.02,W,-122.17111667,E,295.4,S,POINT (-122.171116666856 39.9461080555043)
1502,1102,2022-12-01 00:00:00+00:00,01447.3,A,CA,AJO,CORONA,US,AWP,LAX,CALIFORNIA,RIVERSIDE,CA,CORONA MUNI,PU,PU,33,53,51.5547,N,33.89765408,117,36,8.7831,W,-117.60243975,E,533.0,S,POINT (-117.602439749851 33.8976540831582)
1509,1109,2022-12-01 00:00:00+00:00,01457.8,A,CA,68CA,COTTONWOOD,US,AWP,SFO,CALIFORNIA,TEHAMA,CA,LAKE CALIFORNIA AIR PARK,PR,PR,40,21,40.0,N,40.36111111,122,12,57.0,W,-122.21583333,E,615.0,E,POINT (-122.215833332954 40.361111111022)
1510,1110,2022-12-01 00:00:00+00:00,01457.81,A,CA,CA04,COTTONWOOD,US,AWP,SFO,CALIFORNIA,TEHAMA,CA,FLYING N RANCH,PR,PR,40,20,46.551,N,40.34626417,122,20,20.014,W,-122.33889278,E,530.0,E,POINT (-122.338892777462 40.346264166748)
1511,1111,2022-12-01 00:00:00+00:00,01458.,A,CA,O09,COVELO,US,AWP,SFO,CALIFORNIA,MENDOCINO,CA,ROUND VALLEY,PU,PU,39,47,25.8,N,39.7905,123,15,58.8,W,-123.26633333,E,1434.0,E,POINT (-123.266333333148 39.7904999999065)
1512,1112,2022-12-01 00:00:00+00:00,01464.,A,CA,CEC,CRESCENT CITY,US,AWP,SFO,CALIFORNIA,DEL NORTE,CA,JACK MC NAMARA FLD,PU,PU,41,46,48.6,N,41.78016667,124,14,11.5,W,-124.23652778,E,60.7,S,POINT (-124.236527777359 41.7801666669553)
1513,1113,2022-12-01 00:00:00+00:00,01476.1,A,CA,CL25,CUYAMA,US,AWP,LAX,CALIFORNIA,KERN,CA,7R RANCH,PR,PR,34,56,7.905,N,34.93552917,119,27,6.433,W,-119.45178694,E,3176.0,E,POINT (-119.451786944425 34.9355291668554)
1514,1114,2022-12-01 00:00:00+00:00,01476.12,A,CA,5CN4,CUYAMA,US,AWP,SFO,CALIFORNIA,SAN LUIS OBISPO,CA,VOSBURGH AIRFIELD,PR,PR,34,55,25.08,N,34.92363333,119,34,17.4,W,-119.5715,E,2200.0,E,POINT (-119.571500000109 34.923633333081)
1515,1115,2022-12-01 00:00:00+00:00,01479.,A,CA,DAG,DAGGETT,US,AWP,LAX,CALIFORNIA,SAN BERNARDINO,CA,BARSTOW-DAGGETT,PU,PU,34,51,13.4,N,34.85372222,116,47,12.1,W,-116.78669444,E,1930.0,S,POINT (-116.786694444578 34.8537222220519)
1516,1116,2022-12-01 00:00:00+00:00,01480.9,A,NY,7NY8,AMSTERDAM,US,AEA,NYC,NEW YORK,ALBANY,NY,IWAN AIRFIELD,PR,PR,42,57,49.595,N,42.96377639,74,7,32.015,W,-74.12555972,E,773.0, ,POINT (-74.1255597218255 42.9637763891819)
1517,1117,2022-12-01 00:00:00+00:00,01486.9,A,CA,17CL,DAVENPORT,US,AWP,SFO,CALIFORNIA,SANTA CRUZ,CA,LAS TRANCAS,PR,PR,37,5,16.812,N,37.08800333,122,16,24.895,W,-122.27358194,E,125.0,E,POINT (-122.273581944218 37.0880033334107)
1518,1118,2022-12-01 00:00:00+00:00,01487.12,A,CA,69CL,DAVIS,US,AWP,SFO,CALIFORNIA,YOLO,CA,MEDLOCK FLD,PR,PR,38,36,55.66,N,38.61546111,121,44,50.864,W,-121.74746222,E,48.0,E,POINT (-121.747462222662 38.6154611107935)
1519,1119,2022-12-01 00:00:00+00:00,01488.,A,CA,DWA,DAVIS/WOODLAND/WINTERS,US,AWP,SFO,CALIFORNIA,YOLO,CA,YOLO COUNTY,PU,PU,38,34,45.8,N,38.57938889,121,51,25.0,W,-121.85694444,E,100.0,S,POINT (-121.856944444626 38.5793888887826)
